requests_per_minute,input_tokens_per_request,tokens_per_minute,quota_percent
0,263900,0,0.0000
1,263900,263900,6.5975
2,263900,527800,13.1950
3,263900,791700,19.7925
4,263900,1055600,26.3900
5,263900,1319500,32.9875
6,263900,1583400,39.5850
7,263900,1847300,46.1825
8,263900,2111200,52.7800
9,263900,2375100,59.3775
10,263900,2639000,65.9750
11,263900,2902900,72.5725
12,263900,3166800,79.1700
13,263900,3430700,85.7675
14,263900,3694600,92.3650
15,263900,3958500,98.9625
16,263900,4222400,105.5600
17,263900,4486300,112.1575
